ID,Year,S,varS,N,varN,SsqrtN,PIE,DomMc,expShannon,Chao,Chao2
10,1984,19,4.9050248,2764,2087.054568,0.368428871,0.623056522,0.714299969,4.421851206,20.5,19
10,1992,19,3.54182349,1569,574.8152185,0.483772795,0.705891505,0.650720087,5.293396625,20,19.33333333
10,1996,19,3.56957998,1399,713.1868746,0.490949348,0.69032758,0.667591565,5.161476745,21,20
18,1930,28,5.933333333,1050,1683.168651,0.866530504,0.729337072,0.599554566,7.400145652,33,30.35
18,1931,25,3.5625,998.5,2395.035714,0.793125709,0.701239265,0.633079813,6.638021788,29,27
18,1932,35,8.444444444,1111.5,3391.947475,1.047110012,0.84821629,0.469715627,12.24639222,43,40
18,1933,39,9.419642857,1602,5582.526786,0.98771895,0.862040759,0.428058219,12.65878765,45.125,43.75
18,1934,37,7.472222222,1353.5,2823.71627,0.996462618,0.82476726,0.472218858,11.08445767,42,40.58333333
18,1935,41,10.02222222,1680,4356.5625,0.992665381,0.886280937,0.387772247,14.83773828,45.16666667,43.41666667
18,1936,41,9.89484127,2836,13472.85079,0.764933474,0.849133772,0.465622506,12.37925625,44.63333333,43.875
18,1937,39.5,11.68055556,1923.5,4813.2,0.903626691,0.880171569,0.391839136,13.69605781,47.125,44.625
18,1938,36,7.033333333,2068,4699.959091,0.782630158,0.884728925,0.38058465,13.58318084,41,39
18,1939,36,8.159722222,1779.5,4746.005556,0.83878067,0.873691524,0.399532196,12.5020202,41.25,39.5
18,1940,39,10.52222222,2091.5,5855.897222,0.843524484,0.877207841,0.401627845,12.86672744,48,44.41666667
18,1941,36,8.323412698,2607.5,9172.948413,0.715068784,0.862719707,0.423457261,11.75862464,39.45,38.80357143
18,1942,41,9.027777778,3335,19113.38889,0.719150285,0.877625781,0.416416295,12.99968434,45.16666667,43.5
18,1945,44,10.25,2917.5,15648.83472,0.81557617,0.865031167,0.46931,12.37846995,50.5,49
18,1946,39,12.32142857,2469,17577.50556,0.79200472,0.878778958,0.42448805,12.83409311,46,42.75
18,1947,37,10.45,2294,12527.875,0.771257221,0.874046121,0.433254597,12.08977557,41.20833333,40
18,1949,35,10.86111111,2041,6406.460317,0.775698298,0.874629765,0.40401214,12.06817575,38.125,37
18,1950,39,10.37698413,2310.5,6115.15,0.793798225,0.876822363,0.403205452,12.86866267,44.5,42.1
18,1951,35,9.788888889,1880.5,6659.895833,0.81814059,0.896453374,0.355603715,13.94879137,39.16666667,38.25
18,1952,40,9.505555556,1951.5,5025.904058,0.91431204,0.907126835,0.327931952,15.56777228,45.8,44
18,1954,40,13.95396825,1635,2397.236111,0.998990756,0.898997623,0.339680361,14.97074959,44,42.33333333
18,1955,44.5,11.30555556,2373,14976.78333,0.928158857,0.90373612,0.322495596,15.72339326,47.45,46.5
18,1956,35,4.241666667,1577,2678.034091,0.869144564,0.869323453,0.426685692,12.68323889,38.25,36.26666667
18,1957,30,5.125,1147,2226.97619,0.887992039,0.826330725,0.525718628,9.704313963,33.66666667,32.33333333
18,1973,31,8.80952381,914,2213.659524,1.044737861,0.899122821,0.347317455,13.82247535,37.16666667,34.75
33,1992,59,NA,16469261,NA,0.014538344,0.101984268,0.980057757,1.315831828,NA,59
33,1993,101,NA,129968785,NA,0.00885935,0.373056242,0.850354275,2.728255975,NA,101
33,1994,116,NA,137113095,NA,0.009906461,0.353443282,0.852367456,2.639039626,NA,116
33,1995,90,NA,76153952,NA,0.010313268,0.105183642,0.963182449,1.4089854,NA,90
33,1996,113,NA,149600272,NA,0.00923873,0.363676722,0.839458848,2.738850885,NA,113
33,1997,121,NA,175694865,NA,0.009128635,0.410605025,0.826966115,2.916060297,NA,121
33,1998,104,NA,171270169,NA,0.007946804,0.270958723,0.900185017,2.183950678,NA,104
33,1999,114,NA,180738244,NA,0.008479687,0.294931024,0.874992788,2.231156527,NA,114
33,2000,106,NA,142879925,NA,0.008867889,0.205288961,0.916931297,1.822307826,NA,106
33,2001,113,NA,171707067,NA,0.008623516,0.345652012,0.889194619,2.457472387,NA,113
33,2002,116,NA,129098046,NA,0.010209351,0.393969254,0.85705638,2.869904775,NA,116
33,2003,108,NA,94939588,NA,0.011084091,0.284827194,0.87676082,2.270673996,NA,108
33,2004,98,NA,104884379,NA,0.009569091,0.235302774,0.908141993,1.983524434,NA,98
33,2005,107,NA,138157226,NA,0.009103261,0.292783703,0.871215813,2.327032236,NA,107
33,2006,97,NA,131327499,NA,0.008464356,0.443110916,0.817619507,3.071775574,NA,97
33,2007,97,NA,112208488,NA,0.009157119,0.292781798,0.871374793,2.339927523,NA,97
33,2008,105,NA,88521189,NA,0.011160038,0.393379195,0.82375448,2.97937785,NA,105
33,2009,103,NA,102622242,NA,0.010167554,0.395675843,0.818081347,2.966948161,NA,103
39,1970,24,NA,158,NA,1.909337482,0.932355075,0.291139241,17.62954632,24.4,24.16666667
39,1971,22,NA,162.5,NA,1.725821989,0.908768754,0.332307692,13.94931176,23,22.33333333
39,1972,25,NA,212,NA,1.717007049,0.906956988,0.339622642,14.63153634,29.5,26.5
39,1973,25,NA,213.5,NA,1.710964777,0.902912247,0.367681499,14.54416859,25.125,25
39,1974,23,NA,192,NA,1.659882024,0.865142343,0.432291667,11.54466201,24.125,23.6
