system:index,counts,keys,geometry
0,"[58591.0, 835.0, 360.0, 165.0]","[0.0, 1.0, 2.0, 3.0]",null
1,"[55387.0, 937.0, 76.0, 397.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[58682.0, 893.0, 368.0, 64.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[55029.0, 847.0, 532.0, 4.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[56895.0, 1280.0, 528.0, 13.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[57307.0, 782.0, 199.0, 23.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[58084.0, 445.0, 274.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[54329.0, 1014.0, 340.0, 39.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[58002.0, 1413.0, 253.0, 31.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[54522.0, 986.0, 612.0, 51.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[55356.0, 631.0, 139.0, 4.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[58403.0, 852.0, 107.0, 2.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[54463.0, 821.0, 366.0, 245.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[56785.0, 1232.0, 332.0, 19.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[58434.0, 459.0, 309.0, 10.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[56011.0, 547.0, 176.0, 11.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[57026.0, 1128.0, 421.0, 30.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[54904.0, 1496.0, 154.0, 30.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[55799.0, 603.0, 434.0, 36.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[57402.0, 246.0, 83.0, 3.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[56694.0, 768.0, 255.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[54463.0, 1067.0, 226.0, 228.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[56770.0, 458.0, 207.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[56322.0, 639.0, 143.0, 48.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[57359.0, 612.0, 441.0, 142.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[58816.0, 952.0, 234.0, 70.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[55888.0, 1582.0, 314.0, 50.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[56068.0, 648.0, 359.0, 200.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[53437.0, 1566.0, 510.0, 157.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[55062.0, 575.0, 357.0, 103.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[54833.0, 660.0, 534.0, 48.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[52902.0, 702.0, 168.0, 12.0]","[0.0, 1.0, 2.0, 3.0]",null
32,"[53630.0, 1107.0, 246.0, 106.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[59376.0, 406.0, 415.0, 44.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[55056.0, 1245.0, 393.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[57393.0, 395.0, 344.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[58808.0, 801.0, 209.0, 11.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[56240.0, 830.0, 137.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[53942.0, 704.0, 138.0, 199.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[54405.0, 520.0, 224.0, 316.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[57555.0, 1177.0, 308.0, 47.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[55782.0, 522.0, 92.0, 172.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[60804.0, 588.0, 36.0, 1.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[55071.0, 522.0, 57.0, 18.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[55719.0, 715.0, 189.0, 76.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[56014.0, 606.0, 185.0, 77.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[58561.0, 645.0, 187.0, 18.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[56962.0, 932.0, 338.0, 26.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[54912.0, 729.0, 432.0, 83.0]","[0.0, 1.0, 2.0, 3.0]",null
49,"[56410.0, 1290.0, 421.0, 32.0]","[0.0, 1.0, 2.0, 3.0]",null
