system:index,counts,keys,geometry
0,"[54777.0, 754.0, 300.0, 43.0]","[0.0, 1.0, 2.0, 3.0]",null
1,"[53596.0, 1742.0, 438.0, 31.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[57060.0, 948.0, 428.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[56393.0, 385.0, 165.0, 33.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[55344.0, 834.0, 248.0, 69.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[56184.0, 458.0, 214.0, 38.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[56651.0, 1261.0, 466.0, 124.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[56704.0, 709.0, 538.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[54138.0, 1145.0, 135.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[57018.0, 496.0, 170.0, 7.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[52699.0, 963.0, 412.0, 93.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[53734.0, 402.0, 335.0, 115.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[56346.0, 1350.0, 321.0, 65.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[56072.0, 737.0, 311.0, 89.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[57688.0, 796.0, 163.0, 177.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[57702.0, 684.0, 256.0, 2.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[53755.0, 1089.0, 201.0, 1.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[55835.0, 980.0, 304.0, 40.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[56756.0, 797.0, 85.0, 68.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[56466.0, 689.0, 431.0, 169.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[57142.0, 1235.0, 124.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[57716.0, 1286.0, 113.0, 16.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[54364.0, 1221.0, 110.0, 42.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[59508.0, 1259.0, 271.0, 70.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[58141.0, 1398.0, 203.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[52121.0, 1386.0, 282.0, 112.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[57298.0, 1499.0, 203.0, 110.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[57583.0, 452.0, 272.0, 27.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[56417.0, 1319.0, 120.0, 22.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[56417.0, 917.0, 275.0, 43.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[57225.0, 810.0, 258.0, 148.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[56094.0, 377.0, 373.0, 7.0]","[0.0, 1.0, 2.0, 3.0]",null
32,"[56225.0, 561.0, 113.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[55206.0, 1195.0, 585.0, 101.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[56462.0, 597.0, 99.0, 252.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[58103.0, 1299.0, 181.0, 128.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[55990.0, 865.0, 439.0, 148.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[57010.0, 610.0, 115.0, 90.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[57256.0, 813.0, 248.0, 47.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[56126.0, 765.0, 294.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[57502.0, 1151.0, 195.0, 23.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[55893.0, 516.0, 67.0, 15.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[56161.0, 1154.0, 631.0, 53.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[56090.0, 1071.0, 435.0, 258.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[56600.0, 703.0, 255.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[59477.0, 543.0, 94.0, 75.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[55736.0, 1224.0, 63.0, 66.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[58762.0, 1124.0, 417.0, 189.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[57133.0, 1107.0, 235.0, 159.0]","[0.0, 1.0, 2.0, 3.0]",null
49,"[56982.0, 324.0, 274.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
