system:index,counts,keys,geometry
0,"[55157.0, 523.0, 404.0, 36.0]","[0.0, 1.0, 2.0, 3.0]",null
1,"[54236.0, 1574.0, 271.0, 10.0]","[0.0, 1.0, 2.0, 3.0]",null
2,"[55296.0, 1371.0, 126.0, 173.0]","[0.0, 1.0, 2.0, 3.0]",null
3,"[56651.0, 736.0, 47.0, 3.0]","[0.0, 1.0, 2.0, 3.0]",null
4,"[56416.0, 1578.0, 219.0, 133.0]","[0.0, 1.0, 2.0, 3.0]",null
5,"[54120.0, 1569.0, 231.0, 59.0]","[0.0, 1.0, 2.0, 3.0]",null
6,"[58361.0, 1171.0, 194.0, 136.0]","[0.0, 1.0, 2.0, 3.0]",null
7,"[55585.0, 1255.0, 118.0, 73.0]","[0.0, 1.0, 2.0, 3.0]",null
8,"[56198.0, 739.0, 450.0, 84.0]","[0.0, 1.0, 2.0, 3.0]",null
9,"[51181.0, 907.0, 165.0, 53.0]","[0.0, 1.0, 2.0, 3.0]",null
10,"[58837.0, 760.0, 225.0, 26.0]","[0.0, 1.0, 2.0, 3.0]",null
11,"[56164.0, 624.0, 514.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
12,"[57340.0, 774.0, 274.0, 14.0]","[0.0, 1.0, 2.0, 3.0]",null
13,"[55738.0, 855.0, 121.0, 52.0]","[0.0, 1.0, 2.0, 3.0]",null
14,"[59507.0, 626.0, 100.0, 26.0]","[0.0, 1.0, 2.0, 3.0]",null
15,"[57143.0, 901.0, 329.0, 30.0]","[0.0, 1.0, 2.0, 3.0]",null
16,"[57510.0, 703.0, 646.0, 8.0]","[0.0, 1.0, 2.0, 3.0]",null
17,"[57090.0, 616.0, 356.0, 106.0]","[0.0, 1.0, 2.0, 3.0]",null
18,"[60418.0, 444.0, 334.0, 21.0]","[0.0, 1.0, 2.0, 3.0]",null
19,"[57952.0, 655.0, 174.0, 51.0]","[0.0, 1.0, 2.0, 3.0]",null
20,"[57524.0, 424.0, 180.0, 12.0]","[0.0, 1.0, 2.0, 3.0]",null
21,"[54992.0, 724.0, 254.0, 89.0]","[0.0, 1.0, 2.0, 3.0]",null
22,"[55918.0, 509.0, 161.0, 11.0]","[0.0, 1.0, 2.0, 3.0]",null
23,"[58818.0, 1091.0, 302.0, 96.0]","[0.0, 1.0, 2.0, 3.0]",null
24,"[54678.0, 440.0, 309.0, 18.0]","[0.0, 1.0, 2.0, 3.0]",null
25,"[57061.0, 1007.0, 251.0, 91.0]","[0.0, 1.0, 2.0, 3.0]",null
26,"[54706.0, 858.0, 201.0, 83.0]","[0.0, 1.0, 2.0, 3.0]",null
27,"[57956.0, 485.0, 235.0, 242.0]","[0.0, 1.0, 2.0, 3.0]",null
28,"[56076.0, 982.0, 344.0, 25.0]","[0.0, 1.0, 2.0, 3.0]",null
29,"[56470.0, 489.0, 126.0, 17.0]","[0.0, 1.0, 2.0, 3.0]",null
30,"[56279.0, 1621.0, 244.0, 41.0]","[0.0, 1.0, 2.0, 3.0]",null
31,"[57631.0, 629.0, 362.0, 47.0]","[0.0, 1.0, 2.0, 3.0]",null
32,"[56964.0, 1220.0, 483.0, 19.0]","[0.0, 1.0, 2.0, 3.0]",null
33,"[55991.0, 1189.0, 384.0, 52.0]","[0.0, 1.0, 2.0, 3.0]",null
34,"[57377.0, 857.0, 187.0, 23.0]","[0.0, 1.0, 2.0, 3.0]",null
35,"[55933.0, 1088.0, 116.0, 5.0]","[0.0, 1.0, 2.0, 3.0]",null
36,"[58086.0, 765.0, 97.0, 39.0]","[0.0, 1.0, 2.0, 3.0]",null
37,"[56522.0, 520.0, 318.0, 38.0]","[0.0, 1.0, 2.0, 3.0]",null
38,"[58662.0, 690.0, 368.0, 45.0]","[0.0, 1.0, 2.0, 3.0]",null
39,"[53793.0, 940.0, 191.0, 31.0]","[0.0, 1.0, 2.0, 3.0]",null
40,"[57022.0, 923.0, 261.0, 6.0]","[0.0, 1.0, 2.0, 3.0]",null
41,"[56018.0, 550.0, 183.0, 173.0]","[0.0, 1.0, 2.0, 3.0]",null
42,"[56206.0, 696.0, 108.0, 265.0]","[0.0, 1.0, 2.0, 3.0]",null
43,"[56670.0, 801.0, 296.0, 16.0]","[0.0, 1.0, 2.0, 3.0]",null
44,"[55512.0, 895.0, 402.0, 50.0]","[0.0, 1.0, 2.0, 3.0]",null
45,"[58789.0, 842.0, 137.0, 35.0]","[0.0, 1.0, 2.0, 3.0]",null
46,"[57944.0, 1137.0, 319.0, 84.0]","[0.0, 1.0, 2.0, 3.0]",null
47,"[58363.0, 764.0, 354.0, 29.0]","[0.0, 1.0, 2.0, 3.0]",null
48,"[53908.0, 955.0, 317.0, 29.0]","[0.0, 1.0, 2.0, 3.0]",null
49,"[54298.0, 1145.0, 229.0, 13.0]","[0.0, 1.0, 2.0, 3.0]",null
